valence,acousticness,danceability,explicit,track_genre,loudness,popularity
0.396,0.421,0.559,False,acoustic,-8.937,19
0.411,0.729,0.642,False,acoustic,-8.168,27
0.344,0.844,0.48,False,acoustic,-7.335,31
0.147,0.939,0.271,False,acoustic,-15.035,45
0.172,0.19,0.594,False,acoustic,-8.872,10
0.0987,0.421,0.574,False,acoustic,-8.995,18
0.31,0.861,0.647,False,acoustic,-7.91,36
0.155,0.953,0.486,False,acoustic,-21.56,66
0.14,0.916,0.734,True,acoustic,-24.831,78
0.186,0.832,0.711,False,acoustic,-13.033,40
0.305,0.616,0.629,False,acoustic,-9.697,28
0.541,0.541,0.615,False,acoustic,-12.619,23
0.438,0.727,0.503,False,acoustic,-9.36,25
0.219,0.762,0.45,False,acoustic,-9.003,30
0.202,0.775,0.525,False,acoustic,-9.489,31
0.422,0.00268,0.555,False,acoustic,-5.04,9
0.543,0.872,0.678,False,acoustic,-10.9,28
0.321,0.694,0.555,False,acoustic,-9.636,28
0.16,0.896,0.586,False,acoustic,-9.953,39
0.288,0.863,0.588,False,acoustic,-15.196,43
0.75,0.46,0.724,False,acoustic,-6.869,17
0.2,0.887,0.567,False,acoustic,-10.024,37
0.967,0.784,0.544,True,acoustic,-8.991,0
0.903,0.126,0.555,False,acoustic,-8.358,12
0.424,0.805,0.69,False,acoustic,-9.193,29
0.177,0.365,0.513,False,acoustic,-17.036,28
0.304,0.947,0.494,False,acoustic,-9.843,37
0.391,0.841,0.634,False,acoustic,-7.396,31
0.466,0.411,0.694,False,acoustic,-8.62,18
0.152,0.876,0.643,False,acoustic,-14.28,45
0.354,0.00855,0.422,False,acoustic,-14.151,10
0.293,0.667,0.543,False,acoustic,-8.608,28
0.234,0.825,0.332,False,acoustic,-7.257,31
0.461,0.908,0.43,False,acoustic,-15.148,35
0.348,0.87,0.432,False,acoustic,-9.251,32
0.385,0.319,0.592,False,acoustic,-5.268,18
0.766,0.935,0.733,False,acoustic,-14.452,23
0.329,0.927,0.394,False,acoustic,-10.484,35
0.19,0.798,0.41,False,acoustic,-15.236,39
0.498,0.809,0.48,False,acoustic,-15.239,33
0.191,0.63,0.255,False,acoustic,-8.31,24
0.599,0.817,0.524,False,acoustic,-10.001,23
0.416,0.199,0.464,False,acoustic,-7.514,13
0.0877,0.809,0.659,False,acoustic,-8.987,35
0.437,0.395,0.592,False,acoustic,-8.508,17
0.644,0.000353,0.467,False,acoustic,-4.203,14
0.101,0.478,0.564,False,acoustic,-7.655,20
0.25,0.818,0.498,False,acoustic,-10.752,33
0.73,0.951,0.386,False,acoustic,-9.949,18
0.246,0.878,0.702,False,acoustic,-9.73,37
0.2,0.745,0.747,False,acoustic,-14.141,39
0.221,0.0758,0.522,False,acoustic,-7.247,5
0.447,0.353,0.715,False,acoustic,-6.147,21
0.0979,0.423,0.642,False,acoustic,-10.606,20
0.421,0.797,0.354,False,acoustic,-6.578,27
0.142,0.872,0.447,False,acoustic,-7.571,37
0.872,0.24,0.687,False,acoustic,-4.54,15
0.971,0.832,0.588,False,acoustic,-7.442,5
0.161,0.92,0.456,False,acoustic,-8.437,37
0.158,0.75,0.512,False,acoustic,-10.359,33
0.278,0.793,0.582,False,acoustic,-9.229,33
0.228,0.758,0.568,False,acoustic,-11.707,32
0.686,0.658,0.71,False,acoustic,-9.541,18
0.338,0.0931,0.574,False,acoustic,-4.65,9
0.94,0.273,0.64,False,acoustic,-3.068,14
0.706,0.0653,0.669,False,acoustic,-5.899,15
0.432,0.705,0.615,False,acoustic,-9.694,28
0.739,0.946,0.415,False,acoustic,-7.624,16
0.592,0.194,0.565,False,acoustic,-5.354,17
0.644,0.59,0.586,False,acoustic,-4.418,20
0.341,0.0287,0.564,False,acoustic,-5.055,7
0.346,0.651,0.543,False,acoustic,-6.571,26
0.346,0.651,0.543,False,acoustic,-6.571,27
0.346,0.651,0.543,False,acoustic,-6.571,26
0.445,0.81,0.638,False,acoustic,-11.174,28
0.259,0.891,0.515,False,acoustic,-11.261,37
0.297,0.901,0.622,False,acoustic,-14.335,40
0.362,0.99,0.44,False,acoustic,-20.858,59
0.0647,0.941,0.457,False,acoustic,-19.928,62
0.661,0.0302,0.649,False,acoustic,-6.483,13
0.0919,0.652,0.495,False,acoustic,-11.661,28
0.746,0.0384,0.71,False,acoustic,-8.23,13
0.525,0.932,0.69,False,acoustic,-12.427,32
0.176,0.926,0.596,False,acoustic,-11.02,41
0.445,0.0329,0.66,False,acoustic,-8.302,9
0.433,0.013,0.733,False,acoustic,-6.843,11
0.611,0.842,0.589,False,acoustic,-9.335,23
0.551,0.638,0.686,False,acoustic,-9.59,22
0.495,0.842,0.659,False,acoustic,-10.367,29
0.871,0.201,0.732,False,acoustic,-6.63,13
0.457,0.918,0.522,False,acoustic,-13.38,33
0.155,0.54,0.565,False,acoustic,-8.596,22
0.238,0.603,0.474,False,acoustic,-11.42,28
0.29,0.864,0.543,False,acoustic,-8.062,34
0.549,0.795,0.672,False,acoustic,-9.063,25
0.644,0.0456,0.515,False,acoustic,-5.696,13
0.759,0.269,0.759,False,acoustic,-5.751,16
0.163,0.911,0.62,False,acoustic,-9.633,39
0.0676,0.891,0.497,False,acoustic,-11.716,41
0.516,0.306,0.644,False,acoustic,-5.83,18
0.248,0.827,0.45,False,acoustic,-9.873,33
0.264,0.757,0.548,False,acoustic,-12.71,33
0.153,0.0162,0.521,False,acoustic,-7.007,0
0.693,0.278,0.587,False,acoustic,-6.04,14
0.181,0.452,0.543,False,acoustic,-11.258,19
0.48,0.446,0.742,False,acoustic,-6.744,22
0.313,0.677,0.707,False,acoustic,-9.773,30
0.187,0.776,0.52,False,acoustic,-11.996,34
0.508,0.807,0.392,False,acoustic,-9.845,25
0.212,0.84,0.531,False,acoustic,-7.594,35
0.315,0.62,0.681,False,acoustic,-8.369,29
0.511,0.0425,0.569,False,acoustic,-4.547,14
0.65,0.283,0.707,False,acoustic,-11.633,18
0.395,0.982,0.519,False,acoustic,-18.898,50
0.621,0.078,0.608,False,acoustic,-5.178,13
0.413,0.0334,0.585,False,acoustic,-5.365,10
0.425,0.00433,0.527,False,acoustic,-5.651,8
0.345,0.847,0.495,False,acoustic,-11.16,32
0.157,0.395,0.628,False,acoustic,-8.539,17
0.372,0.271,0.639,False,acoustic,-7.775,14
0.462,0.11,0.245,False,acoustic,-5.606,11
0.334,0.244,0.387,False,acoustic,-7.611,13
0.719,0.188,0.539,False,acoustic,-6.987,14
0.207,0.0133,0.487,True,acoustic,-5.865,0
0.487,0.938,0.529,False,acoustic,-9.066,29
0.415,0.641,0.666,False,acoustic,-12.404,28
0.148,0.983,0.451,False,acoustic,-19.933,63
0.105,0.943,0.359,False,acoustic,-10.567,41
0.163,0.906,0.403,False,acoustic,-10.001,37
0.247,0.937,0.693,False,acoustic,-12.356,41
0.878,0.00081,0.598,False,acoustic,-2.619,17
0.155,0.785,0.596,False,acoustic,-11.486,34
0.208,0.832,0.589,False,acoustic,-10.08,36
0.294,0.746,0.735,False,acoustic,-8.994,33
0.398,0.887,0.605,False,acoustic,-11.388,32
0.637,0.936,0.612,False,acoustic,-15.867,32
0.354,0.93,0.568,False,acoustic,-11.277,35
0.349,0.967,0.451,False,acoustic,-13.862,39
0.513,0.923,0.595,False,acoustic,-14.672,34
0.32,0.733,0.307,False,acoustic,-15.253,33
0.214,0.9,0.3,False,acoustic,-14.397,40
0.274,0.735,0.731,False,acoustic,-11.359,32
0.413,0.0452,0.545,False,acoustic,-3.098,13
0.11,0.923,0.356,False,acoustic,-16.957,50
0.271,0.000153,0.432,False,acoustic,-7.262,2
0.436,0.0309,0.693,False,acoustic,-5.852,10
0.397,0.321,0.624,False,acoustic,-11.89,18
0.17,0.0158,0.423,False,acoustic,-5.109,2
0.428,0.968,0.555,False,acoustic,-12.141,35
0.492,0.826,0.496,False,acoustic,-9.844,26
0.286,0.753,0.671,False,acoustic,-10.582,32
0.229,0.605,0.379,False,acoustic,-8.981,25
0.138,0.882,0.499,False,acoustic,-16.668,47
0.47,0.27,0.649,False,acoustic,-12.053,19
0.348,0.772,0.746,False,acoustic,-9.878,31
0.225,0.697,0.393,False,acoustic,-6.741,28
0.419,0.294,0.629,False,acoustic,-4.379,18
0.492,0.892,0.458,False,acoustic,-6.473,26
0.265,0.961,0.452,False,acoustic,-9.405,36
0.589,0.0599,0.616,False,acoustic,-6.246,13
0.233,0.836,0.619,False,acoustic,-7.072,35
0.335,0.931,0.634,False,acoustic,-14.703,41
0.688,0.682,0.549,False,acoustic,-8.64,18
0.343,0.923,0.292,False,acoustic,-13.153,34
0.395,0.931,0.504,False,acoustic,-21.441,59
0.369,0.129,0.636,False,acoustic,-5.095,12
0.334,2.45e-05,0.486,False,acoustic,-6.416,5
0.19,0.912,0.396,False,acoustic,-9.096,37
0.885,0.0304,0.578,False,acoustic,-4.872,14
0.69,0.571,0.684,False,acoustic,-7.608,18
0.929,0.831,0.623,True,acoustic,-7.779,2
0.389,0.517,0.228,False,acoustic,-7.959,18
0.35,0.876,0.809,False,acoustic,-12.182,38
0.586,0.0265,0.482,False,acoustic,-5.128,11
0.235,0.87,0.425,False,acoustic,-12.219,37
0.115,0.983,0.298,False,acoustic,-20.176,63
0.242,0.938,0.468,False,acoustic,-11.839,37
0.221,0.99,0.507,False,acoustic,-16.342,49
0.213,0.793,0.515,False,acoustic,-10.108,34
0.744,0.00537,0.565,False,acoustic,-5.481,14
0.489,0.86,0.635,False,acoustic,-7.682,29
0.305,0.894,0.657,False,acoustic,-13.108,39
0.146,0.895,0.459,False,acoustic,-15.482,45
0.295,0.614,0.391,False,acoustic,-8.706,24
0.309,0.912,0.371,False,acoustic,-13.167,38
0.0844,0.165,0.453,False,acoustic,-9.328,4
0.301,0.279,0.627,False,acoustic,-8.127,15
0.401,0.879,0.706,False,acoustic,-12.724,35
0.527,0.755,0.724,False,acoustic,-12.788,29
0.217,0.669,0.535,False,acoustic,-11.212,29
0.507,0.877,0.658,False,acoustic,-15.901,38
0.299,0.868,0.711,False,acoustic,-16.504,45
0.626,0.879,0.504,False,acoustic,-19.308,41
0.198,0.913,0.309,False,acoustic,-11.816,39
0.203,0.944,0.628,False,acoustic,-13.64,45
0.288,0.19,0.49,False,acoustic,-7.276,10
0.245,0.856,0.316,False,acoustic,-12.216,36
0.0943,0.799,0.47,False,acoustic,-7.636,34
0.512,0.816,0.515,False,acoustic,-10.286,25
0.485,0.656,0.493,False,acoustic,-12.334,25
0.628,0.0479,0.589,False,acoustic,-5.6,12
0.243,0.746,0.313,False,acoustic,-8.713,28
0.231,0.956,0.302,False,acoustic,-14.968,43
0.422,0.724,0.643,False,acoustic,-12.245,31
0.298,0.843,0.482,False,acoustic,-11.141,34
0.321,0.571,0.539,False,acoustic,-10.191,24
0.49,0.855,0.707,False,acoustic,-7.21,30
0.478,0.832,0.707,False,acoustic,-7.511,27
0.588,0.844,0.661,False,acoustic,-16.361,35
0.769,0.749,0.523,False,acoustic,-7.596,15
0.34,0.44,0.572,False,acoustic,-13.454,23
0.547,0.979,0.554,False,acoustic,-11.806,30
0.882,0.316,0.726,False,acoustic,-8.896,13
0.961,0.674,0.501,True,acoustic,-10.225,0
0.113,0.623,0.505,False,acoustic,-5.692,27
0.361,0.0555,0.415,True,acoustic,-5.529,4
0.422,0.382,0.458,False,acoustic,-4.268,19
0.607,0.00277,0.474,True,acoustic,-5.052,7
0.698,0.586,0.444,True,acoustic,-6.675,10
0.636,0.083,0.566,False,acoustic,-5.302,13
0.799,0.00012,0.367,False,acoustic,-3.91,14
0.462,0.395,0.258,True,acoustic,-6.457,9
0.725,0.15,0.568,False,acoustic,-6.635,14
0.662,0.14,0.571,False,acoustic,-8.688,13
0.269,0.917,0.385,False,acoustic,-13.005,39
0.209,0.303,0.588,False,acoustic,-7.721,14
0.118,0.968,0.276,False,acoustic,-10.879,41
0.268,0.739,0.664,False,acoustic,-8.135,31
0.0621,0.854,0.506,False,acoustic,-14.737,43
0.261,0.89,0.595,False,acoustic,-11.391,37
0.206,0.796,0.644,False,acoustic,-9.14,34
0.422,0.737,0.607,False,acoustic,-15.471,36
0.552,0.817,0.63,False,acoustic,-13.377,30
0.52,0.833,0.689,False,acoustic,-9.431,27
0.524,0.833,0.473,False,acoustic,-8.48,26
0.183,0.088,0.62,False,acoustic,-5.719,7
0.679,0.0777,0.751,False,acoustic,-9.106,15
0.217,0.715,0.62,False,acoustic,-9.648,32
0.371,0.0222,0.478,False,acoustic,-10.124,6
0.241,0.00373,0.376,False,acoustic,-5.733,1
0.328,0.0502,0.403,False,acoustic,-5.94,5
0.279,0.927,0.44,False,acoustic,-12.574,39
0.253,0.775,0.407,False,acoustic,-11.659,33
0.427,0.899,0.385,False,acoustic,-14.672,36
0.0897,0.868,0.429,False,acoustic,-12.408,40
0.44,0.131,0.609,False,acoustic,-5.16,13
0.576,0.945,0.721,False,acoustic,-15.973,38
0.353,0.845,0.675,False,acoustic,-9.569,33
0.248,0.757,0.403,False,acoustic,-10.262,30
0.337,0.436,0.627,False,acoustic,-7.178,21
0.543,0.000435,0.403,False,acoustic,-3.166,13
0.431,0.896,0.449,False,acoustic,-14.494,36
0.795,0.041,0.589,False,acoustic,-4.523,14
0.491,0.803,0.789,False,acoustic,-14.396,35
0.488,0.827,0.663,False,acoustic,-9.517,30
0.296,0.691,0.498,False,acoustic,-16.097,38
0.341,0.881,0.586,False,acoustic,-13.369,39
